Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
63	0.0680185	0.299696	0.167762	-0.162612	0.074487	0.337131	0.579524	0.930161	0.629619	0.533654	0.357884	-0.246912	-0.438554	-0.462124	-0.438378	-0.296465	-0.285691
64	0.481168	0.256992	0.501876	0.129601	-0.056709	-0.444279	-0.193169	-0.160356	-0.80329	-0.548215	0.005917	0.101489	0.334673	0.195422	0.749005	0.887866	0.415854
65	0.0164205	0.021203	-0.097025	-0.115021	-0.044362	0.26589	0.614523	0.608034	0.484638	0.226129	-0.104676	-0.251308	-0.585794	-0.39456	-0.683245	-0.200006	-0.015987
66	-0.313094	-0.141971	0.000296	-0.41478	0.058974	0.510454	0.526166	0.652379	0.589897	0.111863	0.148994	-0.224344	-0.42354	-0.200656	-0.366187	-0.488425	-0.336147
67	-0.7018525	-0.54017	-0.402685	-0.57879	0.205334	0.679483	1.053762	1.061006	0.640726	0.028136	-0.29488	-0.459236	-0.973469	-0.691347	-0.944047	-0.725802	-0.38792
68	-0.2314435	-0.262777	-0.13425	-0.390053	-0.033534	0.177144	0.243906	0.647512	0.780538	0.58635	0.388765	0.386182	0.213588	-0.343661	-0.39483	-0.81231	-0.360369
69	-0.122199	-0.030322	0.087418	-0.026531	0.340179	0.49351	0.429352	0.88795	0.710332	0.500399	0.219094	0.284093	0.192477	-0.528868	-0.414726	-0.78178	-0.68998
70	-0.1303495	-0.211254	0.093635	-0.088798	-0.066567	0.133172	0.647571	0.823979	0.85716	0.442746	0.204992	-0.549149	-1.003555	-0.948842	-0.927315	-0.614152	-0.450939
71	-0.5987035	-0.523754	-0.289856	-0.070592	-0.136612	0.043199	0.353725	0.619421	0.578966	0.581371	0.420446	0.306234	-0.112434	-0.135953	-0.326219	-0.264835	-0.413814
72	-0.3962395	-0.488006	-0.793592	-0.471975	-0.403816	-0.072333	0.344998	0.344699	0.650983	0.12407	0.436405	-0.051046	0.165265	-0.056682	-0.226308	-0.056655	-0.274717
73	-0.0610125	-0.15061	-0.197783	-0.158829	-0.350151	0.077116	0.085574	0.180532	0.414365	0.194867	0.36307	0.124062	-0.44189	-0.529153	-0.474981	-0.614431	-0.22508
74	-0.0949115	-1.167893	-0.066969	-0.430177	-0.041521	0.479349	0.023754	0.116772	0.108654	-0.195795	0.1851	-0.111981	0.118992	-0.310705	-0.520456	-0.118161	0.028648
75	-0.18533	-0.318868	-0.147375	-0.160253	0.245307	0.503532	0.269008	0.561407	0.476623	0.24395	0.025612	-0.033324	-0.205706	-0.353512	-0.251347	-0.324258	-0.361141
76	-0.3401865	-0.341531	-0.111075	-0.413451	-0.019078	0.114052	0.417213	0.483647	0.456396	0.185254	-0.102625	-0.421751	-1.038187	-0.850331	-0.995391	-0.557516	-0.519959
77	-0.1141425	-0.17434	0.467926	-0.527129	-0.157957	-0.058561	0.367494	0.281983	0.739576	0.246665	0.185552	0.026534	-0.206954	-0.201992	-0.63306	-0.462325	-0.167577
78	-0.01009	-0.237695	-0.291992	-0.534258	-0.098937	0.235858	0.218222	0.497455	0.426534	0.096197	0.395465	-0.277312	-0.295564	-0.54054	-0.533932	-0.391256	-0.061519
79	-0.0055175	0.150528	0.148939	-0.031024	0.141684	0.58138	0.819175	0.302537	0.378334	0.237625	0.198126	-0.349831	-0.42117	-0.473171	-0.327556	0.170255	0.066572
80	0.0561475	0.157138	0.267222	0.254795	0.137495	0.559199	0.859259	0.766616	0.52001	0.411903	-0.034603	-0.224729	-0.652074	-0.57073	-0.623446	-0.409494	-0.22321
